iter	Passed	Remaining
438	10929	13966
439	10957	13945
440	10441	10847	441	11442	10877	442	11443	10903	443	11444	10933	444	11445	10961	13616
446	10987	13593
447	11010	13566
448	11039	13547
449	11062	13521
450	11085	13493
451	11098	13456
452	11122	13429
453	11149	13408
454	11173	13383
455	11206	13369
456	11226	13338
457	11248	13311
458	11267	458	11459	11296	13261
460	11324	13240
461	11351	13218
462	11374	13192
463	11392	463	11464	11409	464	11465	11433	465	11594	13286
466	11627	13270
467	11468	11510	468	11670	13213
469	11693	13186
470	11722	13166
471	11744	13138
472	11473	11626	473	11474	11649	474	11475	11674	475	11476	11702	12830
477	11728	12808
478	11750	12781
479	11770	12751
480	11794	12726
481	11821	12703
482	11847	482	11483	11874	12659
484	11901	12637
485	11925	12612
486	11947	12585
487	11974	12563
488	11990	12530
489	12012	12502
490	12032	12473
491	12065	12457
492	12089	12432
493	12119	12413
494	12141	12386
495	12164	12360
496	12184	12331
497	12212	12310
498	12234	12283
499	12263	12263
500	12286	12237
501	12310	12212
502	12332	12185
503	12353	12157
504	12376	12131
505	12393	12099
506	12422	12079
507	12455	12062
508	12481	12040
509	12506	12016
510	12528	11989
511	12549	11961
512	12574	11937
513	12600	11913
514	12631	11896
515	12650	11866
516	12674	11840
517	12696	11813
518	12719	11788
519	12739	11759
520	12759	11731
521	12783	11706
522	12804	11677
523	12827	11652
524	12852	11628
525	12873	11600
526	12901	11579
527	12927	11556
528	12954	11534
529	12981	11511
530	13006	11488
531	13035	11467
532	13074	11455
533	13109	11440
534	13143	11423
535	13179	11409
536	13208	11388
537	13238	11368
538	13260	11341
539	13303	11332
540	13329	11309
541	13347	11278
542	13374	11256
543	13395	11228
544	13418	11202
545	13443	11178
546	13469	11154
547	13494	11130
548	13516	11103
549	13538	11077
550	13562	11052
551	13590	11029
552	13616	11006
553	13641	10981
554	13674	10964
555	13705	10944
556	13719	10911
557	13739	10883
558	13764	10858
559	13785	10831
560	13810	10806
561	13829	10778
562	13852	10752
563	13881	10731
564	13901	10703
565	13929	10681
566	13951	10654
567	13969	10624
568	13991	10597
569	14024	10579
570	14051	10556
571	14082	10536
572	14110	10515
573	14124	10482
574	14160	10466
575	14186	10443
576	14220	10425
577	14238	10395
578	14267	10374
579	14289	10347
580	14309	10319
581	14335	10295
582	14363	10273
583	14387	10248
584	14416	10227
585	14442	10203
586	14475	10184
587	14500	10160
588	14520	10132
589	14547	10109
590	14571	10084
591	14592	10056
592	14608	10026
593	14630	9999
594	14651	9973
595	14673	9946
596	14699	9922
597	14721	9896
598	14747	9872
599	14768	9845
600	14795	9822
601	14821	9798
602	14846	9774
603	14879	9755
604	14900	9728
605	14920	9701
606	14951	9680
607	14979	9658
608	15006	9634
609	15028	9608
610	15050	9582
611	15076	9558
612	15094	9529
613	15113	9501
614	15139	9477
615	15160	9450
616	15181	9423
617	15201	9396
618	15216	9365
619	15238	9339
620	15258	9312
621	15283	9288
622	15311	9265
623	15332	9238
624	15356	9213
625	15387	9192
626	15420	9173
627	15441	9147
628	15461	9119
629	15487	9095
630	15504	9066
631	15521	9038
632	15547	9014
633	15564	8985
634	15589	8960
635	15617	8938
636	15645	8915
637	15671	8891
638	15695	8866
639	15715	8840
640	15739	8814
641	15763	8790
642	15785	8764
643	15812	8741
644	15834	8715
645	15858	8690
646	15882	8665
647	15911	8643
648	15934	8617
649	15956	8591
650	15975	8564
651	16006	8543
652	16031	8519
653	16062	8498
654	16093	8476
655	16124	8455
656	16144	8428
657	16163	8401
658	16184	8374
659	16206	8348
660	16235	8326
661	16257	8300
662	16286	8278
663	16307	8252
664	16331	8227
665	16352	8200
666	16378	8177
667	16408	8154
668	16438	8133
669	16469	8111
670	16484	8082
671	16506	8056
672	16526	8030
673	16559	8009
674	16587	7986
675	16617	7964
676	16642	7940
677	16665	7915
678	16684	7887
679	16710	7863
680	16732	7837
681	16761	7815
682	16785	7790
683	16804	7763
684	16826	7737
685	16858	7716
686	16883	7692
687	16903	7665
688	16928	7640
689	16952	7616
690	16979	7592
691	17007	7569
692	17036	7547
693	17057	7521
694	17083	7497
695	17107	7472
696	17128	7446
697	17154	7422
698	17173	7395
699	17197	7370
700	17224	7346
701	17252	7323
702	17279	7300
703	17304	7275
704	17329	7251
705	17359	7229
706	17383	7204
707	17407	7179
708	17427	7153
709	17452	7128
710	17478	7104
711	17500	7078
712	17527	7055
713	17550	7029
714	17571	7004
715	17591	6977
716	17607	6949
717	17633	6925
718	17666	6904
719	17691	6879
720	17717	6855
721	17738	6830
722	17767	6807
723	17789	6781
724	17815	6757
725	17839	6732
726	17863	6708
727	17889	6683
728	17915	6659
729	17949	6638
730	17987	6619
731	18018	6596
732	18061	6578
733	18097	65733734	18148	6543
735	18172	6518
736	18194	6492
737	18222	6469
738	18245	6443
739	18263	6416
740	18279	63740741	18296	63741742	18313	63742743	18337	63743744	18360	62744	18585	6361
745	18606	6335
746	18628	6309
747	18651	6283
748749	18473	61749	18696	6232
750	18723	6207
751	18747	6182
752753	18572	60753	18794	6131
754	18815	6105
755756	18636	59756	18863	6055
757	18886	6029
758	18915	6006
759	18938	5980
760	18968	5957
761	18992	5932
762	19013	5905
763	19036	5880
764	19073	5859
765	19107	5837
766	19131	5811
767	19161	5788
768	19181	5761
769	19214	5739
770	19232	5712
771	19250	5685
772	19280	5661
773	19305	5636
774	19327	5611
775	19349	5585
776	19378	5561
777	19404	5537
778	19429	5512
779	19455	5487
780	19475	5461
781	19499	5435
782	19522	5410
783	19539	5383
784	19566	5358
785	19587	5332
786	19611	5307
787	19637	5283
788	19659	5257
789	19686	5233
790	19719	5210
791	19744	5185
792	19769	5160
793	19799	5136
794	19814	5109
795	19842	5085
796	19860	5058
797	19882	5032
798	19904	5007
799	19927	4981
800	19959	4958
801	19980	4932
802	20007	4908
803	20034	4884
804	20058	4858
805	20081	4833
806	20109	4809
807	20132	4783
808	20153	4758
809	20176	4732
810	20194	4706
811	20221	4681
812	20246	4656
813	20262	4630
814	20287	4605
815	20310	4579
816	20327	4553
817	20357	4529
818	20377	4503
819	20400	4478
820	20422	4452
821	20442	4426
822	20466	4401
823	20494	4377
824	20525	4353
825	20543	4327
826	20565	4302
827	20593	4277
828	20613	4252
829	20634	4226
830	20664	4202
831	20693	4178
832	20718	4153
833	20736	4127
834	20766	4103
835	20794	4079
836	20818	4054
837	20839	4028
838	20862	4003
839	20889	3978
840	20909	3953
841	20933	3928
842	20963	3904
843	20992	3880
844	21007	3853
845	21035	3829
846	21055	3803
847	21083	3779
848	21106	3753
849	21129	3728
850	21151	3703
851	21183	3679
852	21210	3655
853	21232	3629
854	21256	3604
855	21284	3580
856	21304	3554
857	21325	3529
858	21358	3505
859	21385	3481
860	21409	3456
861	21438	3432
862	21471	3408
863	21499	3384
864	21523	3359
865	21551	3334
866	21573	3309
867	21597	3284
868	21620	3259
869	21638	3233
870	21666	3208
871	21694	3184
872	21718	3159
873	21750	3135
874	21778	3111
875	21807	3086
876	21830	3061
877	21851	3036
878	21874	3011
879	21901	2986
880	21924	2961
881	21948	2936
882	21977	2912
883	22004	2887
884	22032	2863
885	22045	2836
886	22065	2811
887	22094	2786
888	22119	2761
889	22143	2736
890	22162	2711
891	22188	2686
892	22213	2661
893	22232	2636
894	22257	2611
895	22282	2586
896	22309	2561
897	22329	2536
898	22359	2511
899	22383	2487
900	22400	2461
901	22423	2436
902	22449	2411
903	22469	2386
904	22505	2362
905	22525	2337
906	22551	2312
907	22581	2287
908	22601	2262
909	22622	2237
910	22645	2212
911	22673	2187
912	22693	2162
913	22727	2138
914	22747	2113
915	22782	2089
916	22807	2064
917	22835	2039
918	22856	2014
919	22880	1989
920	22895	1963
921	22924	1939
922	22950	1914
923	22970	1889
924	22999	1864
925	23025	1840
926	23046	1814
927	23062	1789
928	23088	1764
929	23108	1739
930	23127	1714
931	23159	1689
932	23180	1664
933	23198	1639
934	23218	1614
935	23241	1589
936	23258	1563
937	23282	1538
938	23305	1514
939	23328	1489
940	23357	1464
941	23389	1440
942	23410	1415
943	23432	1390
944	23456	1365
945	23478	1340
946	23501	1315
947	23527	1290
948	23550	1265
949	23568	1240
950	23590	1215
951	23611	1190
952	23628	1165
953	23655	1140
954	23679	1115
955	23708	1091
956	23727	1066
957	23744	1040
958	23763	1015
959	23782	990
960	23805	966
961	23833	941
962	23852	916
963	23878	891
964	23901	866
965	23923	842
966	23938	816
967	23956	791
968	23975	767
969	23994	742
970	24022	717
971	24053	692
972	24084	668
973	24103	643
974	24122	618
975	24139	593
976	24155	568
977	24173	543
978	24194	518
979	24211	494
980	24230	469
981	24252	444
982	24276	419
983	24296	395
984	24319	370
985	24335	345
986	24366	320
987	24389	296
988	24421	271
989	24431	246
990	24438	221
991	24449	197
992	24462	172
993	24471	147
994	24480	123
995	24486	98
996	24493	73
997	24499	49
998	24506	24
999	24514	0
